ether_value,date,avg_tx_fee
8253126.6585896639,2018-01-01,0.000845420687140365
13993600.552622437,2018-01-02,0.00091255508650580925
13987792.334272977,2018-01-03,0.0010018294978204867
20246330.894745849,2018-01-04,0.0010990915915397809
18532512.659962155,2018-01-05,0.002501505201861258
15416741.66260615,2018-01-06,0.0029695122765406143
12297041.270088917,2018-01-07,0.002524790920931668
15153420.055366484,2018-01-08,0.0024223531583822747
16127114.031131256,2018-01-09,0.0024610161251218381
17375546.301694289,2018-01-10,0.0031389093025301572
15800836.12459561,2018-01-11,0.0026682897318890883
12519124.15235167,2018-01-12,0.0020779394236948396
9574285.5887526646,2018-01-13,0.0020449526322388889
24882282.106857717,2018-01-14,0.0020680961098871629
11724453.779886486,2018-01-15,0.001845979673419827
15279817.41390097,2018-01-16,0.0017448541316074622
16013219.615739411,2018-01-17,0.0016202750678194718
13789861.929784138,2018-01-18,0.0017865045826564163
9141807.335968338,2018-01-19,0.001788942249163426
7810042.71366783,2018-01-20,0.0018048256707894202
7459669.06458301,2018-01-21,0.0013153710126981317
8941900.8228072021,2018-01-22,0.0012300844135931046
8612842.7840150371,2018-01-23,0.0015499338499527151
8615065.4281429946,2018-01-24,0.0014147294802411229
4104179.7365151481,2018-01-25,0.0013423464331337178
9961352.77143734,2018-01-26,0.0010055902545975772
6427148.5277907494,2018-01-27,0.0009813363348385902
7324258.3401890406,2018-01-28,0.0009985596797008247
7971458.155790681,2018-01-29,0.0013610481871523148
8500894.8479897417,2018-01-30,0.001172079010095834
8223131.2088168794,2018-01-31,0.0012181326509587821
8291407.4844741523,2018-02-01,0.0015372893576873225
11127821.446755433,2018-02-02,0.0012255693995728816
6234963.475336941,2018-02-03,0.0010894947003261628
5081228.7899430431,2018-02-04,0.0010548088807475935
7207439.019819703,2018-02-05,0.000997087097770654
8911214.4685464446,2018-02-06,0.0010421660827317598
7033742.18566265,2018-02-07,0.0010390493947539084
3651696.3224619944,2018-02-08,0.00096096488319651909
5153249.7225895915,2018-02-09,0.00088894414492275849
5783733.3902548011,2018-02-10,0.00089816685463634568
3997940.6324375323,2018-02-11,0.0008354184849455621
4659353.8721160572,2018-02-12,0.0007753908521875145
6446480.1073993724,2018-02-13,0.00084667669961504177
4894972.69894824,2018-02-14,0.000860196896336571
5502781.147369111,2018-02-15,0.00081639313484372083
4353434.3772861091,2018-02-16,0.00085360100193629081
4192620.6820565592,2018-02-17,0.000879144224016898
4161297.1890497077,2018-02-18,0.0010132960643940924
3813863.208692682,2018-02-19,0.00080871604621663578
4454914.4116522735,2018-02-20,0.000840477489090472
4355319.053513146,2018-02-21,0.00087161058381447787
5668407.08479638,2018-02-22,0.000806832470723111
3156491.8742149603,2018-02-23,0.000854487869767784
2908847.1597365867,2018-02-24,0.0008552649264517016
1881537.9773566565,2018-02-25,0.0007949151212541082
2466483.4103410579,2018-02-26,0.00074080924724313128
1551449.9309162474,2018-02-27,0.00081256685102471427
1570597.4687607547,2018-02-28,0.0010398695923264048
1704977.9003926087,2018-03-01,0.000834681559664615
1559749.460845018,2018-03-02,0.0009862269526924206
1042462.2094515167,2018-03-03,0.00075573396728795229
1078424.9292396002,2018-03-04,0.00086114193356897066
1582393.6810539744,2018-03-05,0.00084219574083871655
1957501.4600684734,2018-03-06,0.000724249869691952
1990546.0954468171,2018-03-07,0.00077845988773418045
1678067.9869852057,2018-03-08,0.00078336909888472226
1818819.8420833161,2018-03-09,0.00077036436286142033
1143226.7903425992,2018-03-10,0.00067212731524864057
1089887.6897769133,2018-03-11,0.00059381409853443692
1497825.3389591458,2018-03-12,0.00075736235644293434
2730326.1144790854,2018-03-13,0.00056034247081372093
1932198.5516441418,2018-03-14,0.00062811367772942317
1882278.8944276406,2018-03-15,0.00060131083711727836
1387862.74286428,2018-03-16,0.00064224810300325186
1235020.19642063,2018-03-17,0.00052641180202301079
2863848.2538870121,2018-03-18,0.00053178039751455733
2331654.6160813812,2018-03-19,0.0005356708500064562
1912935.617974292,2018-03-20,0.00057407676604166421
1780928.6153764925,2018-03-21,0.00063439481756634615
1548703.1384113256,2018-03-22,0.000688316930099256
2023236.1059001531,2018-03-23,0.00066473805490924133
1199442.40367156,2018-03-24,0.00062112654100594529
991994.32847780408,2018-03-25,0.00063446636269871089
1953557.3721923241,2018-03-26,0.00069355044299068387
2485963.5526825059,2018-03-27,0.00061763685116151222
2462959.8208409124,2018-03-28,0.00063372990065303824
2576814.4452808304,2018-03-29,0.00066547296830518144
2327212.0631868849,2018-03-30,0.00055758214099473871
1505158.0612621685,2018-03-31,0.00048111780450212647
