address,eth_balance
0x00000000219ab540356cbb839cbe05303d7705fa,1.00281E+25
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7.10147E+24
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,2.11303E+24
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1.99601E+24
0x73bceb1cd57c711feac4224d062b0f6ff338501e,1.9935E+24
0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,1.49E+24
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1.16023E+24
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,9.29499E+23
0x742d35cc6634c0532925a3b844bc454e4438f44e,6.50702E+23
0xdc24316b9ae028f1497c275eb9192a3ea0f67022,6.42991E+23
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,5.75614E+23
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,5.6E+23
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,5.00021E+23
0x07ee55aa48bb72dcc6e9d78256648910de513eca,4.98241E+23
0xe92d1a43df510f82c66382592a047d288f85226f,4.5E+23
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,4.32557E+23
0xa7efae728d2936e78bda97dc267687568dd593f3,3.91062E+23
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,3.75054E+23
0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,3.71564E+23
0xf977814e90da44bfa03b6295a0616a897441acec,3.61741E+23
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,3.53069E+23
0xa929022c9107643515f5c777ce9a910f0d1e490c,3.28144E+23
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,3.25001E+23
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,3.25E+23
0x3bfc20f0b9afcace800d73d2191166ff16540258,3.06277E+23
0x176f3dab24a159341c0509bb36b833e7fdd0a132,2.98147E+23
0x8103683202aa8da10536036edef04cdd865c225e,2.75E+23
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,2.54248E+23
0xae527ce8c5b66d8900b6d1e978396615c168e251,2.51164E+23
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,2.5E+23
0x0548f59fee79f8832c299e01dca5c76f034f558e,2.38182E+23
0x189b9cbd4aff470af2c0102f365fc1823d857965,2.31467E+23
0xbddf00563c9abd25b576017f08c46982012f12be,2.30938E+23
0x9845e1909dca337944a0272f1f9f7249833d2d19,2.30001E+23
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,2.28267E+23
0x59448fe20378357f206880c58068f095ae63d5a5,2.15369E+23
0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,2.01406E+23
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,2.00001E+23
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,2E+23
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,1.96288E+23
0xcdbf58a9a9b54a2c43800c50c7192946de858321,1.93799E+23
0x19184ab45c40c2920b0e0e31413b9434abd243ed,1.92107E+23
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,1.9E+23
0x66f820a414680b5bcda5eeca5dea238543f42054,1.88509E+23
0x90a9e09501b70570f9b11df2a6d4f047f8630d6d,1.88298E+23
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,1.87068E+23
0xb8808f9e9b88497ec522304055cd537a0913f6a0,1.85853E+23
0xf774da4418c6dca3051f0e7570829b24214e730b,1.85244E+23
0x36a85757645e8e8aec062a1dee289c7d615901ca,1.77328E+23
0x78605df79524164911c144801f41e9811b7db73d,1.75797E+23
0xdc1487e092caba080c6badafaa75a58ce7a2ec34,1.75572E+23
0xd69b0089d9ca950640f5dc9931a41a5965f00303,1.72481E+23
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,1.72038E+23
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,1.69034E+23
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,1.69032E+23
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,1.63468E+23
0x3ba25081d3935fcc6788e6220abcace39d58d95d,1.57738E+23
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,1.5E+23
0x701c484bfb40ac628afa487b6082f084b14af0bd,1.5E+23
0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,1.5E+23
0x367989c660881e1ca693730f7126fe0ffc0963fb,1.5E+23
0x4b4a011c420b91260a272afd91e54accdafdfc1d,1.5E+23
0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,1.5E+23
